Rank,Artist,Album,Certified_Units_Millions,Estimated_Wholesale_USD,Certification_Level,Certification_Type,Source
78,Beastie Boys,Licensed To Ill,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
79,Billy Joel,The Stranger,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
80,Bob Seger & The Silver Bullet Band,Greatest Hits,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
81,Britney Spears,Oops!…I Did It Again,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
82,Celine Dion,Let’s Talk About Love,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
83,Creedence Clearwater Revival,Chronicle: 20 Greatest Hits,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
84,Def Leppard,Pyromania,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
85,Doobie Brothers,Best Of The Doobies,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
86,Elvis Presley,Elvis’ Christmas Album,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
87,Eminem,The Marshall Mathers LP,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
88,Eminem,The Eminem Show,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
89,Eric Clapton,Unplugged,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
90,Garth Brooks,The Ultimate Hits,10,20000000,Diamond (10× Platinum),Diamond,"Digital Music News (2018, updated 2021): Top 100 Albums by RIAA-certified units"
