has_handle,counts,counts_tobit,fem_dum,dem_dum,rep_dum,state_num,sentiment_total,party,womens_issues,education,health_care,ideology_total,BlackorLatino_legislator,years_since_elected
1,1295,1295,0,1,0,20,0.610810816,D,0.071814671,0.054826256,0.016988417,0.061776064,NA,NA
0,NA,0,0,1,0,7,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,1,0,2,NA,D,NA,NA,NA,NA,1,NA
0,NA,0,1,1,0,25,NA,D,NA,NA,NA,NA,1,34
1,6,6,1,0,0,44,1,Ind,0,0,0,0.166666672,NA,4
1,764,764,1,1,0,29,0.272251308,D,0.005235602,0.002617801,0.002617801,0.11256545,0,NA
1,56,56,1,1,0,26,0.821428597,D,0.035714287,0.035714287,0,0.053571418,0,NA
1,862,862,1,1,0,29,0.636890948,D,0.017401392,0.008120649,0.009280742,0.187935039,0,NA
1,NA,0,1,1,0,46,NA,D,NA,NA,NA,NA,0,NA
1,914,914,1,1,0,32,0.72757107,D,0.078774616,0.038293216,0.0404814,0.036105022,0,NA
1,148,148,1,0,1,9,0.655405402,R,0.033783786,0.027027028,0.006756757,0.121621616,0,NA
1,1869,1869,1,1,0,29,0.333868384,D,0.036918137,0.012306046,0.024612091,0.07276617,NA,NA
0,NA,0,0,1,0,27,NA,D,NA,NA,NA,NA,1,NA
0,NA,0,1,0,1,30,NA,R,NA,NA,NA,NA,NA,NA
1,335,335,1,0,1,46,0.734328389,R,0.053731345,0.029850746,0.023880597,0.035820886,0,NA
1,1283,1283,1,1,0,9,0.46921277,D,0.049103662,0.031176928,0.017926734,0.043647692,1,NA
0,NA,0,1,1,0,12,NA,D,NA,NA,NA,NA,0,NA
1,1043,1043,1,1,0,33,0.465004772,D,0.037392139,0.023969319,0.013422819,0.022051774,0,NA
1,NA,0,1,1,0,44,NA,D,NA,NA,NA,NA,0,5
1,1288,1288,1,0,1,47,0.134316772,R,0.067546584,0.024844721,0.042701863,0.140527934,0,NA
1,2684,2684,1,1,0,41,0.642697453,D,0.030178837,0.01900149,0.011177347,0.087183312,NA,NA
1,798,798,1,1,0,20,0.136591494,D,0.037593983,0.023809524,0.013784461,-0.056390971,1,NA
1,82,82,1,1,0,37,0.170731723,D,0.024390243,0,0.024390243,-0.097560972,NA,NA
0,NA,0,0,1,0,7,NA,D,NA,NA,NA,NA,NA,NA
0,NA,0,0,0,1,46,NA,R,NA,NA,NA,NA,0,NA
0,NA,0,0,0,1,29,NA,R,NA,NA,NA,NA,NA,NA
1,94,94,0,1,0,14,0.457446814,D,0.095744684,0.095744684,0,0.08510638,NA,NA
1,18,18,1,1,0,26,0.611111104,D,0.055555556,0.055555556,0,0.111111104,0,NA
1,286,286,0,0,1,45,0.482517481,R,0.038461536,0.027972028,0.01048951,0.132867128,0,NA
0,NA,0,0,0,1,34,NA,R,NA,NA,NA,NA,0,NA
1,279,279,0,1,0,47,0.799283147,D,0.010752688,0.010752688,0,0.164874554,0,NA
1,24,24,0,1,0,23,0.291666687,D,0.083333336,0.041666668,0.041666668,0.125,0,NA
