Rank,Title,Worldwide Lifetime Gross,Domestic Lifetime Gross,Domestic %,Foreign Lifetime Gross,Foreign %,Year,Genre,director,IMDBrating,contentRating,duration
647,Erin Brockovich,256271286,125595205,49%,130676081,0.51,2000,Drama,Steven Soderbergh,7.4,R,PT2H11M
648,Us,256067149,175084580,68.40%,80982569,0.316,2019,No Data,Jordan Peele,6.8,R,PT1H56M
649,Pegasus,255863112,0,0,255863112,1,2019,No Data,Han Han,6.3,,PT1H38M
650,Get Out,255745157,176196665,68.90%,79548492,0.311,2016,Mystery,Jordan Peele,7.8,R,PT1H44M
651,Marley & Me,255743093,143153751,56%,112589342,0.44,2008,Comedy,David Frankel,7.0,PG,PT1H55M
652,Cliffhanger,255000211,84049211,33%,170951000,0.67,1993,Action,Renny Harlin,6.5,R,PT1H53M
653,Baahubali 2: The Conclusion,254158390,20186659,7.90%,233971731,0.921,2017,Action,S.S. Rajamouli,8.2,Not Rated,PT2H47M
654,Babe,254134910,63658910,25%,190476000,0.75,1995,Fantasy,Chris Noonan,6.9,G,PT1H31M
655,Men in Black: International,253890701,80001807,31.50%,173888894,0.685,2019,No Data,F. Gary Gray,5.6,PG-13,PT1H54M
656,Wild Hogs,253625427,168273550,66.40%,85351877,0.336,2007,Action,Walt Becker,5.8,PG-13,PT1H40M
657,High School Musical 3: Senior Year,252909177,90559416,35.80%,162349761,0.642,2008,Comedy,,,,
658,Hercules,252712101,99112101,39.20%,153600000,0.608,1997,Animation,Ron Clements,7.3,G,PT1H33M
659,Dark Phoenix,252442974,65845974,26.10%,186597000,0.739,2019,No Data,Simon Kinberg,5.7,PG-13,PT1H53M
660,True Grit,252276927,171243005,67.90%,81033922,0.321,2010,Western,Ethan Coen,7.6,PG-13,PT1H50M
661,Dolittle,251410631,77047065,30.60%,174363566,0.694,2020,No Data,Stephen Gaghan,5.6,PG,PT1H41M
662,Bean,251212670,45319423,18%,205893247,0.82,1997,Comedy,Mel Smith,6.5,PG-13,PT1H29M
663,American Hustle,251171807,150117807,59.80%,101054000,0.402,2013,Drama,David O. Russell,7.2,R,PT2H18M
664,Enemy of the State,250849789,111549836,44.50%,139299953,0.555,1998,Action,Tony Scott,7.3,R,PT2H12M
665,You've Got Mail,250821495,115821495,46.20%,135000000,0.538,1998,Comedy,Nora Ephron,6.7,PG,PT1H59M
