City,Country,Venue,CityNight,NumOpeningActs,TicketsSold,TicketsAvailable,SoldOut,Revenue,Tour
Quezon City,Philippines,Smart Araneta Coliseum,1,1,12667,12667,1,859037,Speak Now World Tour
Hong Kong,Hong Kong,AsiaWorldñArena,1,1,12573,12573,1,1030633,Speak Now World Tour
Brussels,Belgium,Forest National,1,1,4622,4622,1,219212,Speak Now World Tour
Rotterdam,Netherlands,Sportpaleis van Ahoy,1,1,4799,4799,1,248314,Speak Now World Tour
Oslo,Norway,Oslo Spektrum,1,,8650,8650,1,815246,Speak Now World Tour
Oberhausen,Germany,Kˆnig Pilsener Arena,1,1,6082,6082,1,370028,Speak Now World Tour
Milan,Italy,Mediolanum Forum,1,1,3421,5585,0,153303,Speak Now World Tour
Paris,France,ZÈnith de Paris,1,,3598,8500,0,201781,Speak Now World Tour
Madrid,Spain,Palacio de los Deportes,1,1,3962,3962,1,251864,Speak Now World Tour
Birmingham,England,LG Arena,1,1,9339,9339,1,508854,Speak Now World Tour
Belfast,Northern Ireland,Odyssey Arena,1,1,8058,8058,1,379001,Speak Now World Tour
Dublin,Ireland,The O2,1,1,8681,8681,1,419806,Speak Now World Tour
Manchester,England,Manchester Evening News Arena,1,1,10488,11622,0,580558,Speak Now World Tour
London,England,The O2 Arena,1,1,15265,15681,0,891152,Speak Now World Tour
Omaha,United States,Qwest Center Omaha,1,1,26992,26992,1,1717104,Speak Now World Tour
Omaha,United States,Qwest Center Omaha,2,1,26992,26992,1,1717104,Speak Now World Tour
Des Moines,United States,Wells Fargo Arena,1,1,13149,13149,1,862771,Speak Now World Tour
Sunrise,United States,BankAtlantic Center,1,1,24077,24077,1,1582951,Speak Now World Tour
Sunrise,United States,BankAtlantic Center,2,1,24077,24077,1,1582951,Speak Now World Tour
Orlando,United States,Amway Center,1,1,12262,12262,1,791980,Speak Now World Tour
Columbus,United States,Nationwide Arena,1,1,14817,14817,1,955259,Speak Now World Tour
Milwaukee,United States,Bradley Center,1,1,13748,13748,1,897042,Speak Now World Tour
Detroit,United States,Ford Field,1,1,47992,47992,1,3453549,Speak Now World Tour
Saint Paul,United States,Xcel Energy Center,1,1,28977,28977,1,1913737,Speak Now World Tour
Saint Paul,United States,Xcel Energy Center,2,1,28977,28977,1,1913737,Speak Now World Tour
Pittsburgh,United States,Heinz Field,1,1,52009,52009,1,4009118,Speak Now World Tour
Buffalo,United States,First Niagara Center,1,1,14487,14487,1,966749,Speak Now World Tour
Hartford,United States,XL Center,1,1,12436,12436,1,810165,Speak Now World Tour
Foxborough,United States,Gillette Stadium,1,1,110800,110800,1,8026350,Speak Now World Tour
Foxborough,United States,Gillette Stadium,2,1,110800,110800,1,8026350,Speak Now World Tour
Greensboro,United States,Greensboro Coliseum,1,1,14789,14789,1,990701,Speak Now World Tour
Knoxville,United States,ThompsonñBoling Arena,1,1,13754,13754,1,903875,Speak Now World Tour
Montreal,Canada,Bell Centre,1,1,13439,13439,1,1254230,Speak Now World Tour
Toronto,Canada,Air Canada Centre,1,1,30144,30144,1,3036000,Speak Now World Tour
Toronto,Canada,Air Canada Centre,2,1,30144,30144,1,3036000,Speak Now World Tour
Newark,United States,Prudential Center,1,1,51487,51487,1,3875463,Speak Now World Tour
Newark,United States,Prudential Center,2,1,51487,51487,1,3875463,Speak Now World Tour
Newark,United States,Prudential Center,3,1,51487,51487,1,3875463,Speak Now World Tour
Newark,United States,Prudential Center,4,1,51487,51487,1,3875463,Speak Now World Tour
Grand Rapids,United States,Van Andel Arena,1,1,11012,11012,1,724854,Speak Now World Tour
Indianapolis,United States,Conseco Fieldhouse,1,1,13329,13329,1,877175,Speak Now World Tour
Cleveland,United States,Quicken Loans Arena,1,1,14873,14873,1,976954,Speak Now World Tour
Washington,United States,Verizon Center,1,1,29303,29303,1,2068789,Speak Now World Tour
Washington,United States,Verizon Center,2,1,29303,29303,1,2068789,Speak Now World Tour
Philadelphia,United States,Lincoln Financial Field,1,1,51395,51395,1,4268678,Speak Now World Tour
Rosemont,United States,Allstate Arena,1,1,26112,26112,1,1909603,Speak Now World Tour
Rosemont,United States,Allstate Arena,2,1,26112,26112,1,1909603,Speak Now World Tour
St. Louis,United States,Scottrade Center,1,1,27965,27965,1,1850159,Speak Now World Tour
St. Louis,United States,Scottrade Center,2,1,27965,27965,1,1850159,Speak Now World Tour
Edmonton,Canada,Rexall Place,1,1,25336,25336,1,2136270,Speak Now World Tour
Edmonton,Canada,Rexall Place,2,1,25336,25336,1,2136270,Speak Now World Tour
Los Angeles,United States,Staples Center,1,1,54900,54900,1,3927154,Speak Now World Tour
Los Angeles,United States,Staples Center,2,1,54900,54900,1,3927154,Speak Now World Tour
Los Angeles,United States,Staples Center,3,1,54900,54900,1,3927154,Speak Now World Tour
